A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Mr. Emerson,Lucy,144,145,how can he be unhappy when he is strong and alive what more is one to give him and think how he has been brought up free from all the superstition and ignorance that lead men to hate one another in the name of god with such an education as that i thought he was bound to grow up happy what are we to do with him he comes out for his holiday to italy and behaves like that like the little child who ought to have been playing and who hurt himself upon the tombstone eh what did you say now don t be stupid over this i don t require you to fall in love with my boy but i do think you might try and understand him you are nearer his age and if you let yourself go i am sure you are sensible you might help me he has known so few women and you have the time you stop here several weeks i suppose but let yourself go you are inclined to get muddled if i may judge from last night let yourself go pull out from the depths those thoughts that you do not understand and spread them out in the sunlight and know the meaning of them by understanding george you may learn to understand yourself it will be good for both of you i only know what it is that s wrong with him not why it is,and what is it,Lucy,M,intermediate,,
Lucy,Mr. Emerson,145,146,and what is it,the old trouble things won t fit,Mr. Emerson,,,M,intermediate
Mr. Emerson,Lucy,146,147,the old trouble things won t fit,what things,Lucy,M,intermediate,,
Lucy,Mr. Emerson,147,148,what things,the things of the universe it is quite true they don t,Mr. Emerson,,,M,intermediate
Mr. Emerson,Lucy,148,149,the things of the universe it is quite true they don t,oh mr emerson whatever do you mean,Lucy,M,intermediate,,
Lucy,Mr. Emerson,149,150,oh mr emerson whatever do you mean,george and i both know this but why does it distress him we know that we come from the winds and that we shall return to them that all life is perhaps a knot a tangle a blemish in the eternal smoothness but why should this make us unhappy let us rather love one another and work and rejoice i don t believe in this world sorrow then make my boy think like us make him realize that by the side of the everlasting why there is a yes a transitory yes if you like but a yes,Mr. Emerson,,,M,intermediate
Mr. Emerson,Lucy,150,151,george and i both know this but why does it distress him we know that we come from the winds and that we shall return to them that all life is perhaps a knot a tangle a blemish in the eternal smoothness but why should this make us unhappy let us rather love one another and work and rejoice i don t believe in this world sorrow then make my boy think like us make him realize that by the side of the everlasting why there is a yes a transitory yes if you like but a yes,i m very sorry you ll think me unfeeling but but,Lucy,M,intermediate,,
George Emerson,Lucy,153,154,miss bartlett,oh good gracious me where where,Lucy; Mr. Emerson,M,intermediate,,
Lucy,George Emerson,154,155,oh good gracious me where where,in the nave,George Emerson; Mr. Emerson,,,M,intermediate
George Emerson,Lucy,155,156,in the nave,i see those gossiping little miss alans must have,Lucy; Mr. Emerson,M,intermediate,,
Lucy,Mr. Emerson,156,157,i see those gossiping little miss alans must have,poor girl poor girl,George Emerson; Mr. Emerson,,,M,intermediate
Mr. Emerson,Lucy,157,158,poor girl poor girl,poor girl i fail to understand the point of that remark i think myself a very fortunate girl i assure you i m thoroughly happy and having a splendid time pray don t waste time mourning over me there s enough sorrow in the world isn t there without trying to invent it good bye thank you both so much for all your kindness ah yes there does come my cousin a delightful morning santa croce is a wonderful church,George Emerson; Lucy,M,intermediate,,
Mr. Beebe,The Vicar,159,160,who is she,cousin of one of my parishioners i do not consider her choice of a piece happy beethoven is so usually simple and direct in his appeal that it is sheer perversity to choose a thing like that which if anything disturbs,The Vicar,M,major,M,minor
The Vicar,Mr. Beebe,160,161,cousin of one of my parishioners i do not consider her choice of a piece happy beethoven is so usually simple and direct in his appeal that it is sheer perversity to choose a thing like that which if anything disturbs,introduce me,Mr. Beebe,M,minor,M,major
Mr. Beebe,The Vicar,161,162,introduce me,she will be delighted she and miss bartlett are full of the praises of your sermon,The Vicar,M,major,M,minor
The Vicar,Mr. Beebe,162,163,she will be delighted she and miss bartlett are full of the praises of your sermon,my sermon why ever did she listen to it,Mr. Beebe,M,minor,M,major
Lucy,Mr. Beebe,165,166,oh what a funny thing some one said just the same to mother and she said she trusted i should never live a duet,doesn t mrs honeychurch like music,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,166,167,doesn t mrs honeychurch like music,she doesn t mind it but she doesn t like one to get excited over anything she thinks i am silly about it she thinks i can t make out once you know i said that i liked my own playing better than any one s she has never got over it of course i didn t mean that i played well i only meant,Lucy,M,major,,
Lucy,Mr. Beebe,167,168,she doesn t mind it but she doesn t like one to get excited over anything she thinks i am silly about it she thinks i can t make out once you know i said that i liked my own playing better than any one s she has never got over it of course i didn t mean that i played well i only meant,of course,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,168,169,of course,music,Lucy,M,major,,
Lucy,Mr. Beebe,169,170,music,what about music,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,170,171,what about music,poor charlotte will be sopped,Lucy,M,major,,
Lucy,Mr. Beebe,171,172,poor charlotte will be sopped,miss lavish has led your cousin astray she hopes to find the true italy in the wet i believe,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,172,173,miss lavish has led your cousin astray she hopes to find the true italy in the wet i believe,miss lavish is so original is it true that miss lavish is writing a book,Lucy,M,major,,
Lucy,Mr. Beebe,173,174,miss lavish is so original is it true that miss lavish is writing a book,they do say so,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,174,175,they do say so,what is it about,Lucy,M,major,,
Lucy,Mr. Beebe,175,176,what is it about,it will be a novel dealing with modern italy let me refer you for an account to miss catharine alan who uses words herself more admirably than any one i know,Mr. Beebe,,,M,major
Mr. Beebe,Lucy,176,177,it will be a novel dealing with modern italy let me refer you for an account to miss catharine alan who uses words herself more admirably than any one i know,i wish miss lavish would tell me herself we started such friends but i don t think she ought to have run away with baedeker that morning in santa croce charlotte was most annoyed at finding me practically alone and so i couldn t help being a little annoyed with miss lavish,Lucy,M,major,,
Lucy,Mr. Beebe,177,178,i wish miss lavish would tell me herself we started such friends but i don t think she ought to have run away with baedeker that morning in santa croce charlotte was most annoyed at finding me practically alone and so i couldn t help being a little annoyed with miss lavish,the two ladies at all events have made it up,Mr. Beebe,,,M,major
The Chambermaid,Mr. Beebe,180,181,fa niente sono vecchia,i quite agree with you miss alan the italians are a most unpleasant people they pry everywhere they see everything and they know what we want before we know it ourselves we are at their mercy they read our thoughts they foretell our desires from the cab driver down to to giotto they turn us inside out and i resent it yet in their heart of hearts they are how superficial they have no conception of the intellectual life how right is signora bertolini who exclaimed to me the other day that belongs to lavish a good fellow lavish but i wish she d start a pipe,Mr. Beebe,F,minor,M,major
Mr. Beebe,Miss Catherine Alan,181,182,i quite agree with you miss alan the italians are a most unpleasant people they pry everywhere they see everything and they know what we want before we know it ourselves we are at their mercy they read our thoughts they foretell our desires from the cab driver down to to giotto they turn us inside out and i resent it yet in their heart of hearts they are how superficial they have no conception of the intellectual life how right is signora bertolini who exclaimed to me the other day that belongs to lavish a good fellow lavish but i wish she d start a pipe,oh mr beebe indeed though it is dreadful for her to smoke it is not quite as dreadful as you suppose she took to it practically in despair after her life s work was carried away in a landslip surely that makes it more excusable,Lucy; Miss Catherine Alan,M,major,F,minor
